Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
51	C3	FALSO	8505 ut	CCL4	UNKNOWN	SYBR	None							Undetermined							VERO	0.083	VERO	1	40		61.239			N	Y	Y	N		
52	C4	FALSO	8505 ut	CCR5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
53	C5	FALSO	8505 ut	CX3CR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.132	VERO	1	40		61.371			N	Y	Y	N		
54	C6	FALSO	8505 ut	CXCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.892			N	Y	Y	Y		
55	C7	FALSO	8505 ut	IFNG	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		61.371			N	Y	Y	Y		
56	C8	FALSO	8505 ut	IL17F	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		67.023			N	Y	Y	Y		
57	C9	FALSO	8505 ut	IL33	UNKNOWN	SYBR	None							27.672	27.672						VERO	0.14	VERO	1	40		81.745			N	N	N	N		
58	C10	FALSO	8505 ut	LTB	UNKNOWN	SYBR	None							35.586	35.586						VERO	0.235	VERO	1	40		91.735			N	N	N	N		
59	C11	FALSO	8505 ut	TNFSF10	UNKNOWN	SYBR	None							28.348	28.348						VERO	0.134	VERO	1	40		83.586			N	N	N	N		
60	C12	FALSO	8505 ut	HPRT1	UNKNOWN	SYBR	None							19.982	19.982						VERO	0.136	VERO	1	40		82.14			N	N	N	N		
61	C13	FALSO	8505 overgal3	B2M	UNKNOWN	SYBR	None							22.888	22.888						VERO	0.144	VERO	1	40		82.271			N	N	N	N		
62	C14	FALSO	8505 overgal3	CCL17	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.023			N	Y	Y	Y		
63	C15	FALSO	8505 overgal3	CCL4	UNKNOWN	SYBR	None							Undetermined							VERO	0.083	VERO	1	40		61.371			N	Y	Y	N		
64	C16	FALSO	8505 overgal3	CCR5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
65	C17	FALSO	8505 overgal3	CX3CR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.132	VERO	1	40		66.366			N	Y	Y	N		
66	C18	FALSO	8505 overgal3	CXCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.76			N	Y	Y	Y		
67	C19	FALSO	8505 overgal3	IFNG	UNKNOWN	SYBR	None							36.661	36.661						VERO	0.04	VERO	1	40		74.516			N	N	N	Y		
68	C20	FALSO	8505 overgal3	IL17F	UNKNOWN	SYBR	None							38.676	38.676						VERO	0.04	VERO	1	40		73.201			N	N	N	Y		
69	C21	FALSO	8505 overgal3	IL33	UNKNOWN	SYBR	None							Undetermined							VERO	0.14	VERO	1	40		66.892			N	Y	Y	N		
70	C22	FALSO	8505 overgal3	LTB	UNKNOWN	SYBR	None							Undetermined							VERO	0.235	VERO	1	40		61.634			N	Y	Y	N		
71	C23	FALSO	8505 overgal3	TNFSF10	UNKNOWN	SYBR	None							Undetermined							VERO	0.134	VERO	1	40		62.422			N	Y	Y	N		
72	C24	FALSO	8505 overgal3	HPRT1	UNKNOWN	SYBR	None							24.203	24.203						VERO	0.136	VERO	1	40		81.745			N	N	N	N		
73	D1	FALSO	8505 ut	BMP2	UNKNOWN	SYBR	None							30.49	30.49						VERO	0.089	VERO	1	40		87.003			N	N	N	N		
74	D2	FALSO	8505 ut	CCL2	UNKNOWN	SYBR	None							22.526	22.526						VERO	0.111	VERO	1	40		87.135			N	N	N	N		
75	D3	FALSO	8505 ut	CCL5	UNKNOWN	SYBR	None							31.099	31.099						VERO	0.136	VERO	1	40		84.9			N	N	N	N		
76	D4	FALSO	8505 ut	CCR6	UNKNOWN	SYBR	None							32.925	32.925						VERO	0.131	VERO	1	40		81.482			N	N	N	N		
77	D5	FALSO	8505 ut	CXCL1	UNKNOWN	SYBR	None							19.922	19.922						VERO	0.132	VERO	1	40		79.379			N	N	N	N		
78	D6	FALSO	8505 ut	CXCL6	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		72.15			N	N	N	Y		
79	D7	FALSO	8505 ut	IL10RA	UNKNOWN	SYBR	None							33.86	33.86						VERO	0.117	VERO	1	40		81.614			N	N	N	N		
80	D8	FALSO	8505 ut	IL1A	UNKNOWN	SYBR	None							22.852	22.852						VERO	0.131	VERO	1	40		83.717			N	N	N	N		
81	D9	FALSO	8505 ut	IL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.127	VERO	1	40		61.239			N	Y	Y	N		
82	D10	FALSO	8505 ut	MIF	UNKNOWN	SYBR	None							17.97	17.97						VERO	0.123	VERO	1	40		86.083			N	N	N	N		
83	D11	FALSO	8505 ut	TNFSF11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.286			N	Y	Y	Y		
84	D12	FALSO	8505 ut	gDNA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
85	D13	FALSO	8505 overgal3	BMP2	UNKNOWN	SYBR	None							Undetermined							VERO	0.089	VERO	1	40		67.155			N	Y	Y	N		
86	D14	FALSO	8505 overgal3	CCL2	UNKNOWN	SYBR	None							29.065	29.065						VERO	0.111	VERO	1	40		86.609			N	N	N	N		
87	D15	FALSO	8505 overgal3	CCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.136	VERO	1	40		67.023			N	Y	Y	N		
88	D16	FALSO	8505 overgal3	CCR6	UNKNOWN	SYBR	None							Undetermined							VERO	0.131	VERO	1	40		66.629			N	Y	Y	N		
89	D17	FALSO	8505 overgal3	CXCL1	UNKNOWN	SYBR	None							23.96	23.96						VERO	0.132	VERO	1	40		79.116			N	N	N	N		
90	D18	FALSO	8505 overgal3	CXCL6	UNKNOWN	SYBR	None							36.394	36.394						VERO	0.04	VERO	1	40		71.755			N	N	N	Y		
91	D19	FALSO	8505 overgal3	IL10RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.117	VERO	1	40		67.68			N	Y	Y	N		
92	D20	FALSO	8505 overgal3	IL1A	UNKNOWN	SYBR	None							29.927	29.927						VERO	0.131	VERO	1	40		83.323			N	N	N	N		
93	D21	FALSO	8505 overgal3	IL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.127	VERO	1	40		67.023			N	Y	Y	N		
94	D22	FALSO	8505 overgal3	MIF	UNKNOWN	SYBR	None							24.262	24.262						VERO	0.123	VERO	1	40		85.557			N	N	N	N		
