Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
352	O16	FALSO	8505 gb1107 treated	CSF1	UNKNOWN	SYBR	None							30.765	30.765						VERO	0.133	VERO	1	40		77.802			N	N	N	N		
353	O17	FALSO	8505 gb1107 treated	CXCL12	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.68			N	Y	Y	Y		
354	O18	FALSO	8505 gb1107 treated	CXCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.075			N	Y	Y	Y		
355	O19	FALSO	8505 gb1107 treated	IL15	UNKNOWN	SYBR	None							27.401	27.401						VERO	0.138	VERO	1	40		76.619			N	N	N	N		
356	O20	FALSO	8505 gb1107 treated	IL1RN	UNKNOWN	SYBR	None							Undetermined							VERO	0.288	VERO	1	40		68.469			N	Y	N	N		
357	O21	FALSO	8505 gb1107 treated	IL8	UNKNOWN	SYBR	None							25.121	25.121						VERO	0.129	VERO	1	40		80.168			N	N	N	N		
358	O22	FALSO	8505 gb1107 treated	RPLP0	UNKNOWN	SYBR	None							20.282	20.282						VERO	0.124	VERO	1	40		86.872	81.877		Y	N	N	N		
359	O23	FALSO	8505 gb1107 treated	TNFSF4	UNKNOWN	SYBR	None							32.726	32.726						VERO	0.097	VERO	1	40		78.591			N	N	N	N		
360	O24	FALSO	8505 gb1107 treated	RQ2	UNKNOWN	SYBR	None							28.967	28.967						VERO	0.151	VERO	1	40		82.797			N	N	N	N		
361	P1	FALSO	8505 sh gal3	CCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.84			N	Y	Y	Y		
362	P2	FALSO	8505 sh gal3	CCL24	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		66.366			N	Y	Y	Y		
363	P3	FALSO	8505 sh gal3	CCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.972			N	Y	Y	Y		
364	P4	FALSO	8505 sh gal3	CSF2	UNKNOWN	SYBR	None							Undetermined							VERO	0.097	VERO	1	40		66.497			N	Y	Y	N		
365	P5	FALSO	8505 sh gal3	CXCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		66.103			N	Y	Y	Y		
366	P6	FALSO	8505 sh gal3	FASLG	UNKNOWN	SYBR	None							Undetermined							VERO	0.286	VERO	1	40		61.108			N	Y	Y	N		
367	P7	FALSO	8505 sh gal3	IL16	UNKNOWN	SYBR	None							Undetermined							VERO	0.136	VERO	1	40		66.366			N	Y	Y	N		
368	P8	FALSO	8505 sh gal3	IL21	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
369	P9	FALSO	8505 sh gal3	IL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
370	P10	FALSO	8505 sh gal3	SPP1	UNKNOWN	SYBR	None							Undetermined							VERO	0.139	VERO	1	40		73.858			N	N	N	N		
371	P11	FALSO	8505 sh gal3	VEGFA	UNKNOWN	SYBR	None							33.538	33.538						VERO	0.131	VERO	1	40		83.191			N	N	N	N		
372	P12	FALSO	8505 sh gal3	RT	UNKNOWN	SYBR	None							33.512	33.512						VERO	0.124	VERO	1	40		74.384			N	N	N	N		
373	P13	FALSO	8505 gb1107 treated	CCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.732			N	Y	Y	Y		
374	P14	FALSO	8505 gb1107 treated	CCL24	UNKNOWN	SYBR	None							38.669	38.669						VERO	0.04	VERO	1	40		67.549			N	N	N	Y		
375	P15	FALSO	8505 gb1107 treated	CCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.206			N	Y	Y	Y		
376	P16	FALSO	8505 gb1107 treated	CSF2	UNKNOWN	SYBR	None							35.457	35.457						VERO	0.097	VERO	1	40		83.06			N	N	N	N		
377	P17	FALSO	8505 gb1107 treated	CXCL13	UNKNOWN	SYBR	None							36.803	36.803						VERO	0.04	VERO	1	40		87.923			N	N	N	Y		
378	P18	FALSO	8505 gb1107 treated	FASLG	UNKNOWN	SYBR	None							Undetermined							VERO	0.286	VERO	1	40		67.812			N	Y	Y	N		
379	P19	FALSO	8505 gb1107 treated	IL16	UNKNOWN	SYBR	None							35.219	35.219						VERO	0.136	VERO	1	40		81.351			N	N	N	N		
380	P20	FALSO	8505 gb1107 treated	IL21	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.812			N	Y	Y	Y		
381	P21	FALSO	8505 gb1107 treated	IL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
382	P22	FALSO	8505 gb1107 treated	SPP1	UNKNOWN	SYBR	None							31.829	31.829						VERO	0.139	VERO	1	40		81.351			N	N	N	N		
383	P23	FALSO	8505 gb1107 treated	VEGFA	UNKNOWN	SYBR	None							29.558	29.558						VERO	0.131	VERO	1	40		82.797			N	N	N	N		
384	P24	FALSO	8505 gb1107 treated	RT	UNKNOWN	SYBR	None							31.954	31.954						VERO	0.124	VERO	1	40		74.121			N	N	N	N		
